,,,,,
,ITEM,PREÇO,TAMANHO,ESTADO,DESCRIÇÃO
,Mesa Sala Completa [Mogno],1000,"Mesa: 1,00 l. X 0,78 a. X 1,00 c.
Cadeiras: 0,43 l. X 1,10 a. X 0,43 p.
Mesinha: 0,21 l. X 0,50 a.",USADO,"Mesa usada em mogno 4 lugares, excelente estado"
,Box Cama,450,"1,38 l. X  1,88 c.",NOVO,box cama novo usado menos de 6 meses excelente estado
,Colchão,750,"1,38 l. X 0,18 a. X 1,88 c.",NOVO,"colchão usado em estado novo utilizado apenas 3 meses, excelente estado"
,Armario Quarto  Amarelo,950,"2,17 l. X 2,12 a. X 0,47 p.",NOVO,"amario 6 portas com luminaria, novo usado 3 meses"
,Armario Quarto Rosa,350,"2,13 l. X 1,58 a. X 0,50 p.",USADO,"armario 4 portas usado, pequenos detalhes"
,Sofa,750,3 Lugares,NOVO,"sofa usado em estado de novo, usado apenas 3 meses"
,Armario Cozinha Completo,950,"Módulo sobre a pia: 0,80 l. X 0,36 a. X 0,29 p.
Módulo do microondas: 0,65 l. X 2,21 a. X 0,29 p.
Módulo sobre o balcão: 1,20 l. X 0,69 a. X 0,29 p.
Balcão: 1,20 l. X 0,90 a. X 0,29 p.",NOVO,"armario de cozinha completo 4 modulos, usado apenas 3 meses, excelente estado"
,Fogão Electrolux Forno Duplo,1000,"0,56 l. X 0,94 a. X 0,65 p.",NOVO,fogão electrolux forno duplo
,Cabeceira Cama,150,"1,38 l.",NOVO,cabeceira de cama azul almofadada em excelente estado 3 meses de uso
,Microondas,950,30 Litros,NOVO,microondas brastemp poquissimo utilizado sem nenhum detalhe estado excelente
,TV Quarto,350,32 polegadas,USADA,TV 32 polegadas
,Painel TV,500,"1,51 l. X 1,80 a. X 0,36 p.",NOVO,painel de tv novo com vidro e lampada
,Banquinhos,200,"0,32 l. X 0,85 a. X 0,37 p.",USADO,banquinhos novos poquissimo utilizados
,Cortina Lisa,75,"1,60 l. X 1,70 a.",USADO,cortina lisa
,Cortina Rendada,100,"1,70 l. X 1,80 a",USADO,cortina rendada bege
,Cortina Sala,130,"2,35 l. X 2,35 a.",USADO,cortina lisa branca
,Total,8655,,,
